channel,party,domain,s_decl,s_rev,soporte_abs,soporte_global,tipo,tipo_band1pp
manifiesto,FN,Freedom & Democracy,-1.8,-19.2,54.2,73.4,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,FN,Political System,-6.1,-2.3,71.1,73.4,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,FN,Economy,3.7,-24.9,48.5,73.4,énfasis no respaldado,énfasis no respaldado
manifiesto,FN,Welfare & QoL,-1.5,14.0,87.4,73.4,apoyo no enfatizado,apoyo no enfatizado
manifiesto,FN,Fabric of Society,9.8,-1.0,72.4,73.4,énfasis no respaldado,neutro/intermedio
manifiesto,FN,Social Groups,-3.7,2.8,76.2,73.4,apoyo no enfatizado,apoyo no enfatizado
manifiesto,LFI,Freedom & Democracy,2.1,6.9,90.6,83.7,énfasis respaldado,énfasis respaldado
manifiesto,LFI,Political System,-5.4,-2.0,81.7,83.7,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,LFI,Economy,2.8,-6.4,77.3,83.7,énfasis no respaldado,énfasis no respaldado
manifiesto,LFI,Welfare & QoL,1.5,1.0,84.7,83.7,énfasis respaldado,neutro/intermedio
manifiesto,LFI,Fabric of Society,-4.5,-15.9,67.8,83.7,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,LFI,Social Groups,-2.1,-1.2,82.5,83.7,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,LR,Freedom & Democracy,-3.3,-19.1,51.8,70.9,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,LR,Political System,2.6,0.1,71.0,70.9,énfasis respaldado,neutro/intermedio
manifiesto,LR,Economy,-3.6,-5.2,65.7,70.9,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,LR,Welfare & QoL,-2.0,-3.8,67.1,70.9,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,LR,Fabric of Society,2.4,-4.7,66.2,70.9,énfasis no respaldado,énfasis no respaldado
manifiesto,LR,Social Groups,5.0,-7.9,63.0,70.9,énfasis no respaldado,énfasis no respaldado
manifiesto,LREM,Freedom & Democracy,-3.1,-4.1,11.6,15.7,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,LREM,Political System,3.4,1.0,16.7,15.7,énfasis respaldado,neutro/intermedio
manifiesto,LREM,Economy,-0.3,3.9,19.6,15.7,apoyo no enfatizado,neutro/intermedio
manifiesto,LREM,Welfare & QoL,2.7,1.6,17.3,15.7,énfasis respaldado,énfasis respaldado
manifiesto,LREM,Fabric of Society,0.3,-3.0,12.7,15.7,énfasis no respaldado,neutro/intermedio
manifiesto,LREM,Social Groups,-1.9,1.0,16.7,15.7,apoyo no enfatizado,neutro/intermedio
manifiesto,MoDem,Freedom & Democracy,2.7,-2.8,19.6,22.4,énfasis no respaldado,énfasis no respaldado
manifiesto,MoDem,Political System,-2.1,2.2,24.6,22.4,apoyo no enfatizado,apoyo no enfatizado
manifiesto,MoDem,Economy,1.9,5.5,27.9,22.4,énfasis respaldado,énfasis respaldado
manifiesto,MoDem,Welfare & QoL,3.5,1.4,23.8,22.4,énfasis respaldado,énfasis respaldado
manifiesto,MoDem,Fabric of Society,-2.5,3.4,25.8,22.4,apoyo no enfatizado,apoyo no enfatizado
manifiesto,MoDem,Social Groups,-5.9,-0.1,22.3,22.4,baja prioridad y menor apoyo relativo,neutro/intermedio
manifiesto,PCF,Freedom & Democracy,5.6,4.4,91.4,87.0,énfasis respaldado,énfasis respaldado
manifiesto,PCF,Political System,11.5,-2.9,84.1,87.0,énfasis no respaldado,énfasis no respaldado
manifiesto,PCF,Economy,-2.8,-2.5,84.5,87.0,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,PCF,Welfare & QoL,-17.2,1.3,88.3,87.0,apoyo no enfatizado,apoyo no enfatizado
manifiesto,PCF,Fabric of Society,-4.0,-17.5,69.5,87.0,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,PCF,Social Groups,9.5,-3.7,83.3,87.0,énfasis no respaldado,énfasis no respaldado
manifiesto,PS,Freedom & Democracy,-2.2,4.2,86.9,82.7,apoyo no enfatizado,apoyo no enfatizado
manifiesto,PS,Political System,-4.0,-4.1,78.6,82.7,baja prioridad y menor apoyo relativo,baja prioridad y menor apoyo relativo
manifiesto,PS,Economy,-1.7,1.0,83.7,82.7,apoyo no enfatizado,neutro/intermedio
manifiesto,PS,Welfare & QoL,13.1,3.6,86.3,82.7,énfasis respaldado,énfasis respaldado
